Info.ISIN,Info.CompanyDescription,Info.CompanyName,Info.Ticker,Info.Country,Info.List,Info.Industry,Info.ReportDate.Next,Stock.LatestPrice,Stock.Return.Act_1d,Stock.Return.Act_1w,Stock.Return.Act_1m,Stock.Return.Act_3m,Stock.Return.Act_6m,Stock.Return.Act_1y,Stock.Return.Act_3y,Stock.Return.Act_5y,Valuation.MarketCap,Valuation.P_E.Latest,Valuation.P_E.Avg_1y,Valuation.P_E.Avg_3y,Valuation.P_S.Latest,Valuation.P_S.Avg_1y,Valuation.P_S.Avg_3y,Valuation.P_FCF.Latest,Valuation.P_FCF.Avg_1y,Valuation.P_FCF.Avg_3y,TA.MA5_MA20,TA.MA20_MA70,TA.MA50_MA200,Strat.Graham,Profitability.ROC
NO0010715139,,Scatec Solar,SSO,Norge,OB Match,Energiproducenter,2017-05-05,41,0.0224439278244972,0.0301507730036974,0.059431504458189,0.0846561044454575,0.213017791509628,0.0512820519506931,,,3876.38598632812,72.7466278076171,113.622596740722,350.672607421875,3.42026305198669,3.60911989212036,3.55829095840454,5.0473837852478,4.52493286132812,8.2063865661621,0.00565958023071289,0.0208921432495117,0.104615926742554,1,0.117259301245213
NO0003028904,,Schibsted A,SCHA,Norge,OBX,Media,2017-05-12,206.5,-0.010541433468461,-0.00768864015117288,-0.0286924075335264,-0.0677200853824615,0.121672965586185,-0.215723469853401,0.239123955368996,1.21329045295715,46684.69921875,105.86489868164,-209.45100402832,89.2692794799804,2.92309093475341,3.53177094459533,3.43398904800415,-179.556503295898,364.243713378906,-30.9515495300292,-0.0381616353988647,-0.000895678997039795,0.00199902057647705,1,0.0837916731834412
DK0010253921,,Schouw & Co.,SCHO,Denmark,Large Cap,Investmentbolag,2017-05-04,700.5,,0.0093659944832325,0.0241228081285954,0.208800703287125,0.49839574098587,0.749063670635223,1.49732625484466,4.64919328689575,0.700500011444091,,,,,,,,,,-0.0149570107460022,0.099990002810955,0.275615215301514,,
SE0007045414,,Scibase,SCIB,Sverige,First North,Sjukvård,2017-05-10,17.8999996185302,0.0228571202605963,-0.0529100559651852,-0.0820513069629669,-0.0529100559651852,-0.105000019073486,-0.228448316454887,,,148.301498413085,-2.79299092292785,-3.99169898033142,-4.72936582565307,20.8142509460449,34.2923507690429,42.8302383422851,-2.99097490310668,-4.09916114807128,-4.53300189971923,-0.0694047808647156,0.0062401294708252,-0.0924800708889961,1,-6.25341510772705
SE0003756758,,Sdiptech,SDIP B,Sverige,First North,Investmentbolag,,55.75,0.018264839425683,0.0229357797652483,,,,,,,1190.20703125,13.969630241394,3.49240803718566,4.65654277801513,1.30290794372558,0.325727105140686,0.434302806854248,-4.4577031135559,-1.11442601680755,-1.48590099811553,0.000909924507141113,,,,0.151477009057999
CY0101162119,,SeaBird Exploration,SBX,Norge,OB Match,Olja & Gas,2017-05-05,5.32999992370605,-0.301441699266434,-0.269863039255142,-0.438947379589081,-0.432978719472885,-0.221897810697556,-0.482524305582047,-0.99707144498825,-0.998788595199584,16.3364505767822,-0.110562600195408,-2.3860421180725,0.514767587184906,,0.0819804072380066,0.341900199651718,0.495123386383057,1.15751302242279,-2.01234102249145,-0.0907339453697205,-0.18115645647049,-0.171899139881134,2,-2.25610303878784
BMG7945E1057,,Seadrill,SDRL,Norge,OBX,Olja & Gas,2017-05-25,4.47399997711181,-0.183576643466949,0.0168181546032429,-0.271335482597351,-0.729993999004364,-0.8077352643013,-0.835272431373596,-0.979937195777893,-0.978776097297668,2256.88305664062,-1.93813896179199,-5.22512912750244,-1.57284796237945,0.0837852880358696,1.09873604774475,1.10249495506286,0.175605595111847,4.58460998535156,3.22599291801452,-0.089500792324543,-0.462217688560486,-0.572061598300933,3,0.0676999986171722
SE0006261038,,Sealwacs,SEAL,Sverige,Aktietorget,Produktion,,7.90000009536743,,0.0533333458006382,0.327731132507324,0.0533333458006382,-0.240384578704834,0.632231354713439,,,24.2609004974365,-9.64708709716796,-14.6448097229003,-21.3728904724121,,,,-10.176549911499,-15.4087200164794,-17.7866992950439,0.0537780523300171,0.0404735803604126,-0.189270973205566,1,-1.42010188102722
SE0000857369,,Seamless Distribution,SEAM,Sverige,Small Cap,Kommunikation,2017-04-25,7,,-0.0344827584922314,0.0294117350131273,0.129032298922539,0.102362222969532,-0.204545482993126,-0.770491778850555,-0.5625,411.355010986328,-4.7509160041809,-4.85771703720092,-4.70482492446899,1.47489798069,1.6236959695816,1.6351979970932,-5.41926908493041,-4.6065878868103,-4.46152400970458,0.0807926654815674,0.00459408760070801,-0.00651246309280396,,-0.774068534374237
SE0009242175,,SeaTwirl,STW,Sverige,First North,Energiproducenter,2017-04-05,28.8999996185302,0.107279665768147,0.319634705781937,0.888888835906982,0.267543882131577,,,,,,,,,,,,,,,0.301005840301514,0.0474333763122559,-0.198542818427086,2,
