"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Aktiekurs";"Börsvärde";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"P/E";"P/E";"P/E";"P/S";"P/S";"P/S";"P/FCF";"P/FCF";"P/FCF";"Medelvärde";"Medelvärde";"Medelvärde";"Info";"N. Rapport";"Graham"
"";"Land";"Lista";"Bransch";"Ticker";"ISIN";"Senaste";"Senaste";"Utveck.  1d";"Utveck.  1v";"Utveck.  1m";"Utveck.  3m";"Utveck.  6m";"Utveck.  1 år";"Utveck.  3 år";"Utveck.  5 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"MA(5)/MA(20)";"MA(20)/MA(70)";"MA(50)/MA(200)";"N. Rapport";"Antal dagar";"Poäng"
"ALK-Abello";"Denmark";"Large Cap";"Läkemedel";"ALK B";"DK0060027142";992.5;0.9925;0.01378958;-0.04198842;-0.01732673;0.06491417;0.09185919;-0.1917752;0.2375312;1.611842;"";"";"";"";"";"";"";"";"";-0.03084296;0.05945992;0.05836236;"2017-05-09";"";2
"Allgon";"Sverige";"First North";"Kommunikation";"ALLG B";"SE0008374003";11.55;195.7921;-0.01702126;-0.03347277;-0.08333335;-0.121673;-0.04938267;-0.1348315;-0.3205882;0.45466;-7.990868;5.722324;10.97534;1.395067;1.570186;1.375735;-6.269762;-120.0245;2.346141;-0.04680502;-0.03191489;-0.01464164;"2017-05-04";"";""
"Alligator Bioscience";"Sverige";"Mid Cap";"Bioteknik";"ATORX";"SE0000767188";31;"";-0.00641028;-0.03426787;0.04026848;-0.04907971;"";"";"";"";"";"";"";"";"";"";"";"";"";-0.006741524;0.01883006;-0.05103964;"2017-05-02";"";2
"AllTele";"Sverige";"Small Cap";"Telekommunikationstjänster";"ATEL A";"SE0001625534";22.2;729.4254;0.03255817;0.009090944;0.11;0.15625;0.2542373;0.3962265;-0.212766;0.009090944;24.56567;9.907039;9.706238;1.021634;0.7231184;0.7513106;-50.48276;-4.407814;-5.130561;-0.0442555;0.1312358;0.1722324;"2017-05-09";"";""
"Alma Media";"Finland";"Mid Cap";"Media";"ALN1V";"FI0009013114";5.63;463.8163;0.01077198;-0.008802767;0.144309;0.07034218;0.08897486;0.5994319;1.108614;0.2676183;19.4071;23.77178;20.73107;1.291608;1.009388;1.004368;13.80406;19.13342;14.90246;0.021927;0.03298867;0.04050493;"2017-04-28";"";2
"Alphahelix";"Sverige";"Aktietorget";"Sjukvård";"ALPH";"SE0000885501";1.31;69.20992;-0.00757584;-0.02962969;0.1008402;-0.05755399;0.4086021;0.2129629;-0.1324504;1.519231;40.9375;59.84608;64.32345;2.40404;2.427833;2.297925;"";26.5794;48.53526;0.03737605;0.005588412;0.09691847;"2017-04-27";"";1
"Alteco Medical";"Sverige";"Aktietorget";"Läkemedel";"ALTE";"SE0005620408";1.2;19.6536;0.01694924;-0.008264455;-0.1111111;-0.2105263;-0.245283;-0.5932204;-0.7446809;"";-2.142092;-7.386712;-5.122686;4.502543;7.345043;7.050821;-1.929282;-4.593497;-3.820278;0.0008137226;-0.1080353;-0.1793283;"2017-04-27";"";""
"Alzinova";"Sverige";"Aktietorget";"Bioteknik";"ALZ";"SE0007413455";14.2;77.7876;-0.003508785;-0.03071671;-0.0273973;-0.139394;-0.139394;-0.01388888;"";"";-26.24769;-20.82857;-13.88571;14.77728;33.53336;22.35558;-10.08395;-10.71873;-7.145818;-0.04349285;-0.0216167;-0.1577836;"2017-05-19";0;1
"Ambea";"Sverige";"Mid Cap";"Sjukvård";"AMBEA";"SE0009663826";88.75;6000.92;-0.01114206;-0.03532609;0.06606606;"";"";"";"";"";46.88326;23.44163;15.62775;1.109432;0.5547162;0.3698108;-7.126983;-3.563492;-2.375661;0.04693663;0.0156635;"";"";"";1
"Ambia Trading";"Sverige";"Aktietorget";"Handel & Distribution";"AMBI";"SE0004020097";14.85;38.50605;0.03846155;-0.02302628;-0.05414009;0.06451617;0.01020412;-0.1054217;0.1692914;"";-93.92789;6.392541;-8.339052;"";0.08023199;0.09121727;-1.397425;-1.768095;-2.35746;-0.02057481;0.02257943;-0.00787884;"2017-05-17";"";1
